PROFILE,DATE,12:30am,1:00am,1:30am,2:00am,2:30am,3:00am,3:30am,4:00am,4:30am,5:00am,5:30am,6:00am,6:30am,7:00am,7:30am,8:00am,8:30am,9:00am,9:30am,10:00am,10:30am,11:00am,11:30am,12:00pm,12:30pm,1:00pm,1:30pm,2:00pm,2:30pm,3:00pm,3:30pm,4:00pm,4:30pm,5:00pm,5:30pm,6:00pm,6:30pm,7:00pm,7:30pm,8:00pm,8:30pm,9:00pm,9:30pm,10:00pm,10:30pm,11:00pm,11:30pm,12:00am
A10,1/31/2000,0.357962613,0.354375476,0.347897251,0.346831222,0.344594853,0.342622146,0.343380398,0.34653674,0.354235877,0.365729856,0.390563158,0.425598127,0.475858277,0.528179059,0.588898707,0.643023693,0.698302595,0.730765595,0.756420513,0.772763623,0.784786811,0.793197901,0.798018568,0.802379882,0.779850384,0.780800912,0.790520995,0.789673314,0.784274421,0.775339988,0.763049074,0.741457076,0.713506316,0.67997426,0.643429893,0.629626482,0.609230484,0.587196543,0.569930231,0.552962429,0.532446173,0.512208942,0.4839644,0.458263593,0.441291986,0.422150445,0.401700011,0.386200474
A10,2/1/2000,0.371607984,0.362773148,0.357101297,0.350173967,0.343489053,0.345408154,0.346601149,0.345728585,0.350879722,0.363066577,0.390303028,0.41909904,0.462578326,0.511815079,0.574765079,0.624210409,0.686534103,0.724175083,0.74691408,0.760191149,0.777249922,0.780286216,0.785052692,0.781464345,0.769440464,0.778419288,0.790122405,0.793284491,0.785688222,0.776596059,0.765505066,0.737283584,0.711142679,0.685455477,0.657641117,0.63671601,0.61323264,0.595094319,0.572563092,0.554252744,0.541829467,0.529529675,0.497172059,0.468597645,0.440144527,0.423339527,0.40231999,0.387183704
A10,2/2/2000,0.36838154,0.360811566,0.357113231,0.351838522,0.348663415,0.345100182,0.345854492,0.348127662,0.353483066,0.367306186,0.388061666,0.426551847,0.476348646,0.529543857,0.592415799,0.652354525,0.711554759,0.74982389,0.769491081,0.781297506,0.78836432,0.801419669,0.805078118,0.80520979,0.785820009,0.800322826,0.805998783,0.80202499,0.797208013,0.794952527,0.777448237,0.758704017,0.726771509,0.693568518,0.652567368,0.639025226,0.620642124,0.602087457,0.578976274,0.565676375,0.54770985,0.534584285,0.512391115,0.479967317,0.44816233,0.428058731,0.404064239,0.393287235
A10,2/3/2000,0.380682808,0.371827535,0.360848174,0.355621545,0.348113985,0.346541446,0.346330794,0.316968532,0.32287555,0.33463128,0.390501934,0.422555787,0.474289514,0.530338155,0.584022927,0.642551427,0.706464407,0.734292949,0.75595724,0.775622817,0.785286519,0.793259125,0.800112635,0.801559181,0.790053226,0.793511515,0.802049088,0.795498469,0.78992213,0.785101694,0.76570119,0.74907675,0.721288448,0.682947831,0.646920466,0.632877579,0.611627212,0.594691694,0.571398453,0.559719549,0.545006772,0.535104285,0.501539138,0.465071214,0.444751198,0.426432318,0.40551263,0.394202799
A10,2/4/2000,0.390399101,0.380503172,0.372061463,0.368250963,0.357811527,0.354098952,0.349507407,0.353597068,0.360234875,0.377042778,0.396123377,0.419964945,0.466924075,0.524915164,0.585141792,0.641101883,0.69907856,0.735342288,0.756455334,0.769654114,0.77720092,0.791328898,0.794738877,0.800828067,0.781682837,0.784294483,0.797401255,0.799842258,0.787500152,0.782493968,0.769803658,0.738111088,0.713950104,0.674070817,0.640160348,0.631068185,0.60951216,0.591425032,0.571330772,0.552709462,0.539954584,0.531383574,0.499877559,0.475504539,0.447590445,0.427212895,0.409112161,0.398692787
A10,2/5/2000,0.380908305,0.368422658,0.357415899,0.351447996,0.342891709,0.341159083,0.338288806,0.336405968,0.340371985,0.344015424,0.35241726,0.367583589,0.393565453,0.410014364,0.425266526,0.444286541,0.468977672,0.484381207,0.505402474,0.52296303,0.536239638,0.539266246,0.546698329,0.548336272,0.541649946,0.533866316,0.533100728,0.532249934,0.528972779,0.52153205,0.513484038,0.507997171,0.506311264,0.50614996,0.505751255,0.508739123,0.505982315,0.495005122,0.485711877,0.480366944,0.467452377,0.458109322,0.443491322,0.432612364,0.41006096,0.397860671,0.379708745,0.370680112
A10,2/6/2000,0.363358609,0.355602557,0.34904925,0.341248736,0.342133565,0.335714431,0.333968215,0.333424052,0.335967707,0.334144161,0.338709145,0.325644515,0.331427888,0.336264928,0.338775694,0.34472182,0.359052675,0.368256815,0.380240981,0.390435262,0.404128439,0.414168039,0.422467518,0.424121834,0.429291051,0.434584791,0.440378469,0.444330932,0.435985793,0.434433633,0.433356622,0.430570066,0.425867005,0.426645391,0.428410509,0.436298024,0.437388526,0.421340928,0.410499443,0.404177694,0.392944421,0.384091353,0.374519019,0.368468908,0.359564402,0.349093612,0.33630872,0.331275635
A10,2/7/2000,0.322007324,0.319897598,0.311179473,0.307273462,0.303975244,0.304264011,0.306904677,0.309606984,0.317326097,0.345358669,0.375182531,0.407819756,0.454234687,0.503195529,0.564557856,0.601866197,0.645884386,0.676962525,0.699726542,0.718650052,0.733436159,0.745235667,0.751089647,0.75768454,0.738736702,0.747074346,0.757372079,0.752328884,0.753192131,0.747118044,0.743392837,0.725683775,0.706112974,0.672844954,0.633724222,0.614363612,0.598687048,0.579191883,0.5617939,0.545261814,0.523003039,0.509926937,0.483143699,0.456697481,0.430093419,0.412164366,0.397383563,0.384244176
A10,2/8/2000,0.368360346,0.357653654,0.348627341,0.34350317,0.341157606,0.340302978,0.340076667,0.34121994,0.34644458,0.358459157,0.38275659,0.410472391,0.462828295,0.521902161,0.582040009,0.636052693,0.700227864,0.736129898,0.755467679,0.773399153,0.776724387,0.784047051,0.79238873,0.791929954,0.780413391,0.785358927,0.796640625,0.792726096,0.787510183,0.782487396,0.773052909,0.750888449,0.725265469,0.686435061,0.646481521,0.624663997,0.611758768,0.597395003,0.580971414,0.569707011,0.547518569,0.532045162,0.504062349,0.475145612,0.444974302,0.428035556,0.40722448,0.395318659
A10,2/9/2000,0.382626684,0.367534767,0.355802306,0.35115791,0.34634099,0.34561477,0.343607595,0.345057535,0.352745251,0.366992752,0.385806172,0.419901408,0.474449089,0.525942942,0.582918244,0.637955017,0.698082604,0.734958803,0.754777958,0.769284695,0.778222703,0.796510336,0.798381069,0.798600484,0.781992877,0.792826291,0.80320139,0.804535749,0.796378203,0.788197597,0.776670312,0.757055813,0.731967476,0.690225643,0.650470649,0.63208086,0.617406017,0.606109906,0.585941624,0.57701261,0.55879404,0.5395794,0.505048044,0.476370783,0.443501468,0.424219262,0.402898562,0.39214678
